Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature_Difference,Power
L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,55130.700000000004
M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,66250.8
L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,74623.2
H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,44396.1
L,298.4,308.6,1304,45,158,0,0,0,0,0,0,10.200000000000045,58680
L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,53973.6
L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,46411.200000000004
L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,73275.59999999999
L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,65386.8
L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,55557.9
M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,60435.9
L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,49523.600000000006
L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,54635.99999999999
L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,60684.8
L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,67782.40000000001
L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,52768.799999999996
L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,63406.2
M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,56616.00000000001
L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,57856.50000000001
M,298,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,56803.200000000004
L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.200000000000045,70067.9
L,298,308.2,1611,30.6,195,0,0,0,0,0,0,10.199999999999989,49296.600000000006
M,298,308.1,1339,51.6,197,0,0,0,0,0,0,10.100000000000023,69092.40000000001
L,298,308.1,1777,24.3,200,0,0,0,0,0,0,10.100000000000023,43181.1
L,298,308.2,1348,58.8,202,1,0,0,0,1,0,10.199999999999989,79262.4
L,298,308.2,1442,44.1,204,0,0,0,0,0,0,10.199999999999989,63592.200000000004
M,298,308.2,1395,49.1,206,0,0,0,0,0,0,10.199999999999989,68494.5
M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,10.200000000000045,51087.799999999996
L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,10.200000000000045,53097.5
L,298,308.2,1469,45.5,214,0,0,0,0,0,0,10.199999999999989,66839.5
L,298,308.3,1362,56.8,216,1,0,0,0,1,0,10.300000000000011,77361.59999999999
L,298,308.3,1405,56.2,218,1,0,0,0,1,0,10.300000000000011,78961
L,298,308.3,1662,32.7,0,0,0,0,0,0,0,10.300000000000011,54347.4
M,298,308.2,1466,42.6,2,0,0,0,0,0,0,10.199999999999989,62451.6
L,298,308.2,1620,35.8,5,0,0,0,0,0,0,10.199999999999989,57995.99999999999
L,298,308.2,1357,48.2,7,0,0,0,0,0,0,10.199999999999989,65407.4
L,298,308.2,1514,37.9,9,0,0,0,0,0,0,10.199999999999989,57380.6
L,298,308.2,1489,40.4,11,0,0,0,0,0,0,10.199999999999989,60155.6
L,298.1,308.3,1331,63,13,0,0,0,0,0,0,10.199999999999989,83853
L,298,308,1615,29.5,15,0,0,0,0,0,0,10,47642.5
L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,10.099999999999966,56167.799999999996
M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,10.099999999999966,90738
M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,10.100000000000023,74730.2
L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,10.099999999999966,53093.4
M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,10.099999999999966,46524.8
M,298,308.1,1587,32.3,30,0,0,0,0,0,0,10.100000000000023,51260.1
L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,10.099999999999966,66025
L,298,308.1,1454,37.1,35,0,0,0,0,0,0,10.100000000000023,53943.4
H,298,308.1,1440,43.7,37,0,0,0,0,0,0,10.100000000000023,62928.00000000001
L,297.9,308,1954,21.1,42,0,0,0,0,0,0,10.100000000000023,41229.4
H,297.9,308,1800,24.8,44,0,0,0,0,0,0,10.100000000000023,44640
L,298,308,1524,37,49,0,0,0,0,0,0,10,56388
H,298,308,1520,39.6,51,0,0,0,0,0,0,10,60192
M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,10,59241.6
L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,10,59953.6
L,298.1,308,1426,46,61,0,0,0,0,0,0,9.899999999999977,65596
L,298.1,308,1652,28.5,63,0,0,0,0,0,0,9.899999999999977,47082
L,298,308,1401,54.7,65,0,0,0,0,0,0,10,76634.7
M,298,307.9,1750,26.6,67,0,0,0,0,0,0,9.899999999999977,46550
H,298,308,1479,50.7,70,0,0,0,0,0,0,10,74985.3
M,298,308,1620,29.4,75,0,0,0,0,0,0,10,47628
L,298,308.1,1819,23.4,78,0,0,0,0,0,0,10.100000000000023,42564.6
M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,10,63627.200000000004
L,298.1,308,1626,36.5,83,0,0,0,0,0,0,9.899999999999977,59349
M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,10,69222
L,298.2,308.2,1469,43,88,0,0,0,0,0,0,10,63167
L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,10.100000000000023,39379.2
L,298.2,308.3,1568,36,92,0,0,0,0,0,0,10.100000000000023,56448
L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,10.100000000000023,52754.8
L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,10.100000000000023,57038
H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,10.199999999999989,58447.00000000001
L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,10.299999999999955,67061.2
L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,10.299999999999955,65572.8
L,298,308.3,1473,42.6,107,0,0,0,0,0,0,10.300000000000011,62749.8
L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,10.299999999999955,53667.00000000001
H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,10.399999999999977,62361.6
M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,10.399999999999977,70109.2
M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,10.5,52681.2
L,298,308.5,1395,46.2,122,0,0,0,0,0,0,10.5,64449.00000000001
L,298,308.5,1713,25.3,124,0,0,0,0,0,0,10.5,43338.9
H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,10.600000000000023,39812.299999999996
M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,10.5,55785.200000000004
L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,10.599999999999966,62122.6
L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,10.699999999999989,47154
H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,10.599999999999966,53071.200000000004
M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,10.599999999999966,64336.5
L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,10.599999999999966,47767.5
L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,10.599999999999966,40876.799999999996
L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,10.599999999999966,64715.4
M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,10.599999999999966,57791.4
L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,10.600000000000023,61596.00000000001
M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,10.600000000000023,59119.2
H,298,308.6,1526,41.8,160,0,0,0,0,0,0,10.600000000000023,63786.799999999996
M,298,308.6,1453,44.1,165,0,0,0,0,0,0,10.600000000000023,64077.3
L,297.9,308.6,1468,36,168,0,0,0,0,0,0,10.700000000000045,52848
L,298,308.6,1313,50.8,170,0,0,0,0,0,0,10.600000000000023,66700.4
M,297.9,308.5,1300,53,172,0,0,0,0,0,0,10.600000000000023,68900
L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,10.5,66827.6
L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,10.599999999999966,56904.8
L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,10.599999999999966,47854
L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,10.599999999999966,60328.799999999996
L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,10.599999999999966,51745.200000000004
H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,10.599999999999966,59210.00000000001
L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,10.599999999999966,49335
